シリーズ,カテゴリ,Token type,名前,Total tokens,Supply,Holders,WeeklyTx,LINE NFT,Explorer,imgURL
第1弾,ミリオンプレス,10000001,スーパーエル,1230,1230,435,1023,https://nft.line.me/search?currency=FNSA&isSale=ON&priceMin=2&priceMax=20&sort=PRICE_LOW&searchText=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%A8%E3%83%AB&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000001,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000100000001
第1弾,ミリオンプレス,10000002,デビルウアサハ,1230,1230,451,525,https://nft.line.me/search?isSale=ON&sort=PRICE_LOW&searchText=%E3%83%87%E3%83%93%E3%83%AB%E3%82%A6%E3%82%A2%E3%82%B5%E3%83%8F&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000002,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000200000001
第1弾,ミリオンプレス,10000003,マーリン,1230,1230,579,523,https://nft.line.me/search?isSale=ON&sort=PRICE_LOW&searchText=%E3%83%9E%E3%83%BC%E3%83%AA%E3%83%B3&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000003,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000300000001
第1弾,ミリオンプレス,10000004,アーサー魔法の派,1230,1230,570,1014,https://nft.line.me/search?isSale=ON&sort=PRICE_LOW&searchText=%E3%82%A2%E3%83%BC%E3%82%B5%E3%83%BC%E9%AD%94%E6%B3%95%E3%81%AE%E6%B4%BE&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000004,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000400000001
第1弾,ミリオンプレス,10000005,歌姫アーサー,1230,1230,544,1024,https://nft.line.me/search?isSale=ON&sort=PRICE_LOW&searchText=%E6%AD%8C%E5%A7%AB%E3%82%A2%E3%83%BC%E3%82%B5%E3%83%BC&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000005,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000500000001
第1弾,ミリオンプレス,10000006,クーホリン,1230,1230,569,3,https://nft.line.me/search?currency=FNSA&isSale=ON&priceMin=0.15&priceMax=2&brandIds%5B0%5D=30&sort=PRICE_LOW&searchText=%E3%82%AF%E3%83%BC%E3%83%9B%E3%83%AA%E3%83%B3&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000006,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000600000001
第1弾,ミリオンプレス,10000007,団長アーサー,1230,1230,559,516,https://nft.line.me/search?isSale=ON&brandIds%5B0%5D=30&sort=PRICE_LOW&searchText=%E5%9B%A3%E9%95%B7%E3%82%A2%E3%83%BC%E3%82%B5%E3%83%BC&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000007,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000700000001
第1弾,ミリオンプレス,10000008,二刀アーサー,1230,1230,560,8,https://nft.line.me/search?currency=FNSA&isSale=ON&priceMin=0.3&priceMax=2&sort=PRICE_LOW&searchText=%E4%BA%8C%E5%88%80%E3%82%A2%E3%83%BC%E3%82%B5%E3%83%BC&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000008,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000800000001
第1弾,ミリオンプレス,10000009,ガウェイン,1230,1230,570,26,https://nft.line.me/search?isSale=ON&sort=PRICE_LOW&searchText=%E3%82%AC%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%B3&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/10000009,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000900000001
第1弾,ミリオンプレス,1000000a,バナナ大臣,1230,1230,568,507,https://nft.line.me/search?isSale=ON&sort=PRICE_LOW&searchText=%E3%83%90%E3%83%8A%E3%83%8A%E5%A4%A7%E8%87%A3&tab=marketplace,https://explorer.blockchain.line.me/finschia/item-token-type/db8c702e/1000000a,https://lbw-impro.line-apps.com/v1/daphne/token/db8c702e/1000000a00000001
